vgs,id,gm,gds,cgg,vth,gm_id,id_w,gain,ft
1.04,0.000263273332,0.00101755058,1.36447167e-05,5.83584458e-14,0.576624566,3.8649967783292234,2.6327333199999998e-05,74.57469454092806,2775060275.046343
1.05,0.000273525724,0.00103289494,1.42574933e-05,5.84243251e-14,0.576624566,3.776225961109238,2.7352572399999996e-05,72.44576015336442,2813731012.1123962
1.06,0.000283930572,0.00104804174,1.48906951e-05,5.84879266e-14,0.576624566,3.69119018292965,2.83930572e-05,70.3823248654121,2851888127.7564554
1.07,0.000294485896,0.00106298988,1.55449973e-05,5.85493965e-14,0.576624566,3.6096461475357042,2.9448589599999997e-05,68.38147730009577,2889527543.783661
1.08,0.000305189703,0.00107773804,1.62211008e-05,5.86088723e-14,0.576624566,3.5313709126025135,3.0518970299999996e-05,66.4404995251617,2926644545.320331
1.09,0.000316039985,0.00109228473,1.69197332e-05,5.8666483e-14,0.576624566,3.4561599222959076,3.1603998500000004e-05,64.55685305959788,2963233948.1351943
1.1,0.000327034721,0.00110662838,1.76416503e-05,5.87223501e-14,0.576624566,3.383825352293403,3.2703472100000005e-05,62.72816665003273,2999290330.5614862
1.11,0.000338171871,0.00112076734,1.83876372e-05,5.87765877e-14,0.576624566,3.3141944558718195,3.38171871e-05,60.95222174603271,3034808062.138574
1.12,0.00034944938,0.00113469994,1.91585101e-05,5.88293035e-14,0.576624566,3.2471081791588814,3.4944938e-05,59.226940616848914,3069781446.198442
1.13,0.000360865176,0.00114842455,1.99551172e-05,5.88805991e-14,0.576624566,3.182419990561794,3.60865176e-05,57.55037860664632,3104204894.215921
1.14,0.000372417172,0.00116193955,2.07783411e-05,5.89305702e-14,0.576624566,3.11999455814567,3.72417172e-05,55.92070822246729,3138072859.7883563
1.15,0.000384103263,0.00117524337,2.16290997e-05,5.89793075e-14,0.576624566,3.059706811186345,3.84103263e-05,54.33621307871635,3171379922.8903675
1.16,0.000395921331,0.00118833454,2.25083488e-05,5.90268967e-14,0.576624566,3.0014410615324993,3.95921331e-05,52.795278345784304,3204120945.8981037
1.17,0.00040786924,0.00120121165,2.34170835e-05,5.90734191e-14,0.576624566,2.9450900734755088,4.0786924e-05,51.29638154982024,3236290953.0163236
1.18,0.000419944846,0.00121387339,2.43563405e-05,5.91189521e-14,0.576624566,2.8905543229360173,4.19944846e-05,49.83808589800262,3267885228.7406507
1.19,0.000432145986,0.00122631853,2.53272002e-05,5.91635692e-14,0.576624566,2.8377413414178974,4.32145986e-05,48.41903251509024,3298899280.313987
1.2,0.00044447049,0.00123854595,2.6330789e-05,5.92073407e-14,0.576624566,2.786565087819441,4.4447049000000004e-05,47.03793532354842,3329328895.005539
1.21,0.000456916176,0.00125055462,2.73682818e-05,5.92503336e-14,0.576624566,2.7369453866741633,4.56916176e-05,45.693574377036704,3359170105.658389
1.22,0.000469480851,0.00126234362,2.84409046e-05,5.92926123e-14,0.576624566,2.688807471723698,4.69480851e-05,44.384791473897074,3388419218.0130534
1.23,0.000482162313,0.0012739121,2.9549937e-05,5.93342387e-14,0.576624566,2.6420814436403286,4.82162313e-05,43.110484465669074,3417072709.143513
1.24,0.000494958355,0.00128525931,3.06967154e-05,5.93752724e-14,0.576624566,2.5967019184876676,4.9495835499999995e-05,41.869603742685776,3445127307.5991592
1.25,0.00050786676,0.0012963846,3.18826357e-05,5.94157712e-14,0.576624566,2.5526076957665036,5.078667600000001e-05,40.66114897771767,3472579974.4935317
1.26,0.000520885305,0.00130728737,3.31091569e-05,5.94557909e-14,0.576624566,2.509741314357102,5.20885305e-05,39.48416366953759,3499427790.4240866
1.27,0.000534011764,0.00131796712,3.43778043e-05,5.9495386e-14,0.576624566,2.4680488499500544,5.34011764e-05,38.33773409432085,3525668057.361443
1.28,0.000547243903,0.00132842341,3.56901727e-05,5.95346098e-14,0.576624566,2.427479598616926,5.4724390299999995e-05,37.22098576452111,3551298193.2820454
1.29,0.000560579486,0.00133865584,3.70479312e-05,5.95735144e-14,0.576624566,2.3879857779883156,5.60579486e-05,36.13307940930315,3576315686.2680125
1.3,0.000574016272,0.00134866408,3.84528261e-05,5.96121511e-14,0.576624566,2.3495223842713644,5.74016272e-05,35.07321091283847,3600718157.987816
1.31,0.000587552019,0.00135844785,3.99066858e-05,5.96505707e-14,0.576624566,2.3120469440510933,5.8755201900000003e-05,34.04060805269877,3624503298.5083838
1.32,0.00060118448,0.0013680069,4.1411425e-05,5.96888233e-14,0.576624566,2.2755193214568683,6.0118447999999995e-05,33.034528514775815,3647668831.139785
